rank,overallRarity,name,image,attributes
1,14.15778665635733,Renegade #290,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/290.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Chaos; HAIR: Mystic Wisps; OUTFIT: Saiyan Suit
24,12.576035776313793,Renegade #4017,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4017.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Ahoge; OUTFIT: Templar's Mantle
25,12.56778100775194,Renegade #1685,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1685.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smirk; HAIR: Enchanted Elegance; OUTFIT: Rebellious Rhapsody
26,12.556181532385827,Renegade #3905,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3905.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Lunar Tresses; OUTFIT: Sailor Fuku
27,12.546703917347699,Renegade #2546,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2546.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smile; HAIR: Delinquency; OUTFIT: Rebellion Punk Rider
28,12.530311167529215,Renegade #1654,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1654.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Galactic Gleam; OUTFIT: Yugao Nightshade Kimono
29,12.505214360264405,Renegade #2471,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2471.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smirk; HAIR: Seraphic Curls; OUTFIT: Sakura Blossom Chiffon
30,12.438809291451737,Renegade #1844,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1844.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Eternal Flow; OUTFIT: Azure Rose Bolero Jacket
31,12.416094419063192,Renegade #3378,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3378.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Enigma; HAIR: Twilight Twirls; OUTFIT: Rebellion Punk Rider
32,12.410496926043146,Renegade #1018,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1018.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Galactic Gleam; OUTFIT: Crimson Fang Coat
33,12.391805242052477,Renegade #2010,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2010.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Serene; HAIR: Enchanted Elegance; OUTFIT: Azure Ocean Attire
34,12.386945848153426,Renegade #201,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/201.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Undercut; OUTFIT: Azure Rose Bolero Jacket
35,12.355607534389048,Renegade #4381,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4381.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Wolf Hair; OUTFIT: Scarlet Soiree
36,12.325537634408603,Renegade #238,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/238.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Vex; HAIR: Zoro; OUTFIT: Rebellious Rhapsody
37,12.30939711223569,Renegade #790,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/790.png,BACKGROUND: Dark; BODY: Onyx; EXPRESSION: Smirk; HAIR: Wolf Hair; OUTFIT: Crimson Fang Coat
38,12.29400648176417,Renegade #3951,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3951.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Chaos; HAIR: Twilight Twirls; OUTFIT: Sakura Blossom Chiffon
39,12.287053864642258,Renegade #1204,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1204.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Beanie; OUTFIT: Noir Doublet
40,12.236986038769771,Renegade #1665,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1665.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Mystic Mist; OUTFIT: Gray Wash Tunic
41,12.232314167469761,Renegade #2799,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2799.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Galactic Gleam; OUTFIT: Zori
42,12.228280638082365,Renegade #2181,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2181.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Serene; HAIR: Ahoge; OUTFIT: Hinata’s Heart
43,12.214453098300659,Renegade #343,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/343.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Delinquency; OUTFIT: Common Suit
44,12.186122180431195,Renegade #3269,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3269.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Serene; HAIR: Eternal Flow; OUTFIT: Emerald Samurai Robe
45,12.165208604372063,Renegade #3844,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3844.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smirk; HAIR: Scruffy; OUTFIT: Cosmic Spark Bolero
46,12.148311219998865,Renegade #3869,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3869.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Enigma; HAIR: Compression; OUTFIT: Shadow Stalker Trench
47,12.137432877807443,Renegade #3414,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3414.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Serene; HAIR: Phantom Veil; OUTFIT: Crimson Commander's Cape
48,12.125078388786356,Renegade #3883,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3883.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Enigma; HAIR: Spiky Hair; OUTFIT: Professor Suit
49,12.120256479021343,Renegade #4982,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4982.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Seraphic Curls; OUTFIT: Gray Wash Tunic
50,12.111277970961867,Renegade #2355,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2355.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Galactic Gleam; OUTFIT: Summoner's Cloak
51,12.105998906079718,Renegade #4830,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4830.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smirk; HAIR: Man Bun; OUTFIT: Rebellion Punk Rider
52,12.093212016909892,Renegade #3047,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3047.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Spiky Hair; OUTFIT: Cosmic Spark Bolero
53,12.088123948080872,Renegade #893,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/893.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Enigma; HAIR: Frostfire Fringe; OUTFIT: Yugao Nightshade Kimono
54,12.085846267553585,Renegade #3434,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3434.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smirk; HAIR: Compression; OUTFIT: Azure Rose Bolero Jacket
55,12.069547852655614,Renegade #1543,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1543.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Beanie; OUTFIT: Crusader's Mantle
56,12.055362040763724,Renegade #4714,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4714.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Enigma; HAIR: Side Part; OUTFIT: Hunter Vest
57,12.046173018632278,Renegade #279,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/279.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smile; HAIR: Side Part; OUTFIT: Professor Suit
58,12.022304243539864,Renegade #3931,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3931.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smirk; HAIR: Mystic Wisps; OUTFIT: Summoner's Cloak
59,12.00960027038951,Renegade #1160,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1160.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Smirk; HAIR: Spiky Hair; OUTFIT: Sakura Blossom Chiffon
60,11.983026779054374,Renegade #3115,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3115.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Serene; HAIR: Twilight Twirls; OUTFIT: Moonlight Maestro's Doublet
61,11.97828044836021,Renegade #1048,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1048.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Mystic Mist; OUTFIT: Doubled Danger Peacoat
62,11.938931697261365,Renegade #1689,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1689.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Scruffy; OUTFIT: Emerald Samurai Robe
63,11.929661901105145,Renegade #1115,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1115.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Enchanted Elegance; OUTFIT: Hinata’s Heart
64,11.922016285214783,Renegade #348,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/348.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Shadow Shimmer; OUTFIT: Cerulean Skies Chemise
65,11.91309109134322,Renegade #4755,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4755.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Serene; HAIR: Phantom Veil; OUTFIT: Enigma Robes
66,11.900704489446055,Renegade #558,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/558.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Beanie; OUTFIT: Rebellious Rhapsody
67,11.881099889017946,Renegade #2159,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2159.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Enigma; HAIR: Binding Bangs; OUTFIT: Shogun's Regalia
68,11.876131264539845,Renegade #2955,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2955.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Shadow Shimmer; OUTFIT: Scarlet Soiree
69,11.873357926769561,Renegade #1769,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1769.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Scruffy; OUTFIT: Hinata’s Heart
70,11.869340382663964,Renegade #898,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/898.png,BACKGROUND: Dark; BODY: Bronze; EXPRESSION: Enigma; HAIR: Wolf Hair; OUTFIT: Sailor Fuku
71,11.85495997952087,Renegade #2629,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2629.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Binding Bangs; OUTFIT: Templar's Mantle
72,11.836404586404587,Renegade #4216,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4216.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Galactic Gleam; OUTFIT: Professor Suit
73,11.822120738069014,Renegade #2402,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2402.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Binding Bangs; OUTFIT: Professor Suit
74,11.812281008376345,Renegade #1671,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1671.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Wolf Hair; OUTFIT: Azure Ocean Attire
75,11.796326907711265,Renegade #376,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/376.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Enigma; HAIR: Mystic Mist; OUTFIT: Crimson Fang Coat
76,11.795977118119977,Renegade #4665,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4665.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Mystic Wisps; OUTFIT: Doubled Danger Peacoat
77,11.788071253071255,Renegade #4941,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4941.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Seraphic Curls; OUTFIT: Professor Suit
78,11.773680597925566,Renegade #2614,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2614.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Binding Bangs; OUTFIT: Hinata’s Heart
79,11.760919061833572,Renegade #3955,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/3955.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Enigma; HAIR: Scruffy; OUTFIT: Azure Dragon's Embrace
80,11.754349719306976,Renegade #4929,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4929.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Frostfire Fringe; OUTFIT: Emerald Samurai Robe
81,11.743332892384426,Renegade #4188,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4188.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Enigma; HAIR: Delinquency; OUTFIT: Sakura Blossom Chiffon
82,11.733382934213905,Renegade #4432,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4432.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Side Part; OUTFIT: Enigma Robes
83,11.702238814579797,Renegade #1521,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1521.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Enigma; HAIR: Side Part; OUTFIT: Cosmic Spark Bolero
84,11.696455821941678,Renegade #4827,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/4827.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Serene; HAIR: Delinquency; OUTFIT: Sailor Fuku
85,11.684891952309986,Renegade #2218,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2218.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Mirth; HAIR: Buzzcut; OUTFIT: Azure Dragon's Embrace
86,11.681358529111339,Renegade #927,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/927.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smirk; HAIR: Spiky Hair; OUTFIT: Azure Rose Bolero Jacket
87,11.67995988962204,Renegade #283,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/283.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Smile; HAIR: Eternal Flow; OUTFIT: Azure Dragon's Embrace
88,11.612136265989651,Renegade #1163,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1163.png,BACKGROUND: Dark; BODY: Ivory; EXPRESSION: Serene; HAIR: Starfall Strands; OUTFIT: Azure Dragon's Embrace
89,8.961100134919715,Renegade #2377,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/2377.png,BACKGROUND: Blue; BODY: Onyx; EXPRESSION: Chaos; HAIR: Radiant Crest; OUTFIT: Saiyan Suit
90,8.383464238737806,Renegade #1034,https://bafybeigha5ts6nn3d362nqb2fsxkyomq5u2lei2a3u32uwz7qz7jy4gg4i.ipfs.nftstorage.link/1034.png,BACKGROUND: Yellow; BODY: Onyx; EXPRESSION: Chaos; HAIR: Man Bun; OUTFIT: Saiyan Suit
